key,status,en_value,zh_hans_value
"Accessibility Access Required","missing_zh","",""
"Advanced","zh_same_as_en","Advanced","Advanced"
"Album Art","missing_zh","Album Art",""
"Always show full event titles","zh_same_as_en","Always show full event titles","Always show full event titles"
"Animation speed","missing_zh","",""
"Auto-scroll to next event","zh_same_as_en","Auto-scroll to next event","Auto-scroll to next event"
"BetterDisplay is not installed or not running","missing_zh","BetterDisplay is not installed or not running",""
"Brightness Source","missing_zh","",""
"Built-in","missing_zh","Built-in",""
"Celsius","missing_zh","Celsius",""
"Change media with horizontal gestures","zh_same_as_en","Change media with horizontal gestures","Change media with horizontal gestures"
"Choose any color","zh_same_as_en","Choose any color","Choose any color"
"Choose between your system accent color or customize it with your own selection.","missing_zh","Choose between your system accent color or customize it with your own selection.",""
"Choose which service to use when sharing files from the shelf. Click the shelf button to select files, or drag files onto it to share immediately.","zh_same_as_en","Choose which service to use when sharing files from the shelf. Click the shelf button to select files, or drag files onto it to share immediately.","Choose which service to use when sharing files from the shelf. Click the shelf button to select files, or drag files onto it to share immediately."
"City suggestions","missing_zh","City suggestions",""
"Clear slot","zh_same_as_en","Clear slot","Clear slot"
"Color Presets","zh_same_as_en","Color Presets","Color Presets"
"Colored spectrogram","zh_same_as_en","Colored spectrogram","Colored spectrogram"
"Control Sources","missing_zh","",""
"Copy items on drag","zh_same_as_en","Copy items on drag","Copy items on drag"
"Current and forecast","missing_zh","Current and forecast",""
"Current weather only","missing_zh","Current weather only",""
"Currently selected: \(selectedProvider.id)","missing_zh","Currently selected: \(selectedProvider.id)",""
"Custom","zh_same_as_en","Custom","Custom"
"Customize which controls appear in the music player. Volume expands when active.","zh_same_as_en","Customize which controls appear in the music player. Volume expands when active.","Customize which controls appear in the music player. Volume expands when active."
"Define what happens when you hold the Option key while pressing media keys.","missing_zh","Define what happens when you hold the Option key while pressing media keys.",""
"Drag a control onto a slot","zh_same_as_en","Drag a control onto a slot","Drag a control onto a slot"
"Drag items in the preview to reorder or drop from the palette","zh_same_as_en","Drag items in the preview to reorder or drop from the palette","Drag items in the preview to reorder or drop from the palette"
"Enable gradient","missing_zh","",""
"Enable haptic feedback","zh_same_as_en","Enable haptic feedback","Enable haptic feedback"
"Expanded drag detection area","zh_same_as_en","Expanded drag detection area","Expanded drag detection area"
"Fahrenheit","missing_zh","Fahrenheit",""
"Files dropped on the shelf will be shared via this service","zh_same_as_en","Files dropped on the shelf will be shared via this service","Files dropped on the shelf will be shared via this service"
"Full screen behavior","zh_same_as_en","Full screen behavior","Full screen behavior"
"GitHub","zh_same_as_en","GitHub","GitHub"
"Grant Access","missing_zh","",""
"Grant Accessibility access so built-in keyboard brightness controls can be intercepted.","missing_zh","",""
"Hide all-day events","zh_same_as_en","Hide all-day events","Hide all-day events"
"Hide for all apps","zh_same_as_en","Hide for all apps","Hide for all apps"
"Hide for media app only","zh_same_as_en","Hide for media app only","Hide for media app only"
"Hide from screen recording","zh_same_as_en","Hide from screen recording","Hide from screen recording"
"Hide title bar","zh_same_as_en","Hide title bar","Hide title bar"
"Hide windows on non-notch displays from Mission Control","missing_zh","",""
"Hover delay","zh_same_as_en","Hover delay","Hover delay"
"Interaction","missing_zh","",""
"Keyboard Source","missing_zh","",""
"Keyboard brightness currently supports the built-in source only.","missing_zh","Keyboard brightness currently supports the built-in source only.",""
"Launch at login","missing_zh","",""
"Layout Preview","zh_same_as_en","Layout Preview","Layout Preview"
"Lunar is not installed or not reachable","missing_zh","Lunar is not installed or not reachable",""
"Match menu bar height","zh_same_as_en","Match menu bar height","Match menu bar height"
"Match real notch height","zh_same_as_en","Match real notch height","Match real notch height"
"Miscellaneous","missing_zh","",""
"No action","missing_zh","No action",""
"Normalize gesture direction","missing_zh","",""
"Notch animation","missing_zh","",""
"Notch height on non-notch displays","zh_same_as_en","Notch height on non-notch displays","Notch height on non-notch displays"
"Notch height on notch displays","zh_same_as_en","Notch height on notch displays","Notch height on notch displays"
"Notch sizing","zh_same_as_en","Notch sizing","Notch sizing"
"Now Playing","missing_zh","",""
"OSD","missing_zh","",""
"Only Apple displays are supported. In multi-display setups, the brightness OSD appears on the active display if supported, or on another supported display otherwise.","missing_zh","Only Apple displays are supported. In multi-display setups, the brightness OSD appears on the active display if supported, or on another supported display otherwise.",""
"Open System Settings","missing_zh","Open System Settings",""
"Option (⌥) Key Behavior","missing_zh","",""
"Pick a Color","zh_same_as_en","Pick a Color","Pick a Color"
"Player tinting","missing_zh","",""
"Preferred display","zh_same_as_en","Preferred display","Preferred display"
"Quick Share","zh_same_as_en","Quick Share","Quick Share"
"Quick Share Service","zh_same_as_en","Quick Share Service","Quick Share Service"
"Remove from shelf after dragging","zh_same_as_en","Remove from shelf after dragging","Remove from shelf after dragging"
"Replace System OSD","missing_zh","",""
"Reset to Defaults","zh_same_as_en","Reset to Defaults","Reset to Defaults"
"Searching cities...","missing_zh","Searching cities...",""
"Select which provider to use for system controls. BetterDisplay and Lunar require their respective apps to be installed and running.","missing_zh","",""
"Show OSD","missing_zh","Show OSD",""
"Show OSD in open notch","missing_zh","",""
"Show cool face animation while inactive","zh_same_as_en","Show cool face animation while inactive","Show cool face animation while inactive"
"Show lyrics below artist name","zh_same_as_en","Show lyrics below artist name","Show lyrics below artist name"
"Show menu bar icon","zh_same_as_en","Show menu bar icon","Show menu bar icon"
"Show notch on lock screen","zh_same_as_en","Show notch on lock screen","Show notch on lock screen"
"Show percentage (closed notch)","missing_zh","",""
"Show percentage (open notch)","missing_zh","",""
"Show settings icon in notch","zh_same_as_en","Show settings icon in notch","Show settings icon in notch"
"Show shadow","missing_zh","",""
"Show sneak peek on playback changes","zh_same_as_en","Show sneak peek on playback changes","Show sneak peek on playback changes"
"Show weather","missing_zh","Show weather",""
"Standard","missing_zh","Standard",""
"System","zh_same_as_en","System","System"
"Temperature unit","missing_zh","Temperature unit",""
"Use accent color","missing_zh","",""
"Use inline style","missing_zh","",""
"Using System Accent","zh_same_as_en","Using System Accent","Using System Accent"
"Visibility","missing_zh","",""
"Volume Source","missing_zh","",""
"Weather","missing_zh","Weather",""
"Weather content","missing_zh","Weather content",""
"Weather refresh interval","missing_zh","Weather refresh interval",""
"White","missing_zh","White",""
"Window Appearance","zh_same_as_en","Window Appearance","Window Appearance"
"Window Behavior","zh_same_as_en","Window Behavior","Window Behavior"
"Your macOS system accent color","zh_same_as_en","Your macOS system accent color","Your macOS system accent color"
